intake_id,item_name,status,profile,category,Category_Group,track,pathway,gpu_model,vram_gb,unified_memory_gb,screen_size_in,thermal_flag,price_aud,Over_Budget,Price_Unknown,condition,retailer,verification_status,au_stock,batch,source_file,exceptional_override,shortlist_reason,soft_penalty_notes,Machine,Type,Performance_Headroom,Price_Value,Future_Proof,Portability,Track2_Avoidance,MCDA_Total,current_best_price_aud,current_best_retailer,current_best_url,in_stock_now,student_discount_possible,cashback_possible,cashback_source,stackable_coupons_confirmed,price_match_possible,price_beat_possible,effective_best_price_aud,promo_notes,pricing_checked_at,Policy_Status,Policy_Blockers
intake-042,HP Z4 G4 + used 3090,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2800.0,No,,Refurbished,UNKNOWN,Unverified,Mixed,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-042_hp-z4-g4-used-3090.md,,Passed gates,Unverified — confirm specs before scoring,intake-042,Candidate,7,8,9,2,9,6.900,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed
intake-035,Specialized EVGA 3090 Custom Build,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2953.0,No,,UNKNOWN,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-035_specialized-evga-3090-custom-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-035,Candidate,7,8,9,2,9,6.900,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-019,Pro build,ACTIVE,Desktop,diy build,Complete_System,UNKNOWN,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,2899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/08_Custom_Builds/intake-019_pro-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-019,Candidate,7,8,9,2,9,6.900,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-003,Dell Precision 5820 Tower Bundle,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3558.0,No,,Refurbished,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-003_dell-precision-5820-tower-bundle.md,,Passed gates,,intake-003,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,GOOD_ENOUGH,
intake-004,HP Z4 G4 Workstation (Refurbished Base),ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3500.0,No,,Refurbished,UNKNOWN,Unverified,Low,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-004_hp-z4-g4-workstation-refurbished-base.md,,Passed gates,Unverified — confirm specs before scoring,intake-004,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed
intake-006,Alienware Aurora R12 (Refurbished),ACTIVE,Desktop,desktop,Complete_System,1.5,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3884.0,No,,Refurbished,UNKNOWN,Unverified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-006_alienware-aurora-r12-refurbished.md,,Passed gates,Unverified — confirm specs before scoring,intake-006,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,GOOD_ENOUGH,
intake-023,Gaming PC Jonsbo MOD 5 ASRock x570 Aqua,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3898.3,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-023_gaming-pc-jonsbo-mod-5-asrock-x570-aqua.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-023,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-040,Recompute Dell Precision 5820 Tower + ACT ThinkPad,ACTIVE,Desktop,desktop,Complete_System,2,B,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3558.0,No,,Refurbished,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-040_recompute-dell-precision-5820-tower-act-thinkpad.md,,Passed gates,,intake-040,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,GOOD_ENOUGH,
intake-047,Alienware Aurora R12 RTX 3090 refurbished,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3884.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-047_alienware-aurora-r12-rtx-3090-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-047,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-023,Gaming PC Jonsbo MOD 5 ASRock x570 Aqua,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,3898.3,No,,UNKNOWN,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-023_gaming-pc-jonsbo-mod-5-asrock-x570-aqua.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-023,Candidate,7,6,9,2,9,6.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-009,Lenovo Legion Pro 7i,ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,RTX 4090 Mobile,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4575.0,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-009_lenovo-legion-pro-7i.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-009,Candidate,7,4,7,7,6,6.250,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-036,Alienware 16 Area-51 new config,ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti Mobile,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4198.7,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-036_alienware-16-area-51-new-config.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-036,Candidate,7,4,7,7,6,6.250,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-045,MSI Stealth A16 5080,ACTIVE,Laptop,laptop,Complete_System,UNKNOWN,UNKNOWN,RTX 5080 Mobile,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4999.0,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-045_msi-stealth-a16-5080.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-045,Candidate,7,4,7,7,6,6.250,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-051,Acer Predator Helios 18,ACTIVE,Laptop,laptop,Complete_System,1,1A,RTX 4090 Mobile,16.0,UNKNOWN,UNKNOWN,UNKNOWN,4449.0,No,,Refurbished,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/04_Laptops_Mainline/intake-051_acer-predator-helios-18.md,,Passed gates,,intake-051,Candidate,7,4,7,7,6,6.250,,,,,,,,,,,,,,NEEDS_REVIEW,screen size UNKNOWN
intake-039,Minisforum X1 Lite + DEG1 + RTX 5070 Ti,ACTIVE,Mini PC,mini pc,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2851.98,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/06_Mini_PCs_and_eGPU/intake-039_minisforum-x1-lite-deg1-rtx-5070-ti.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-039,Candidate,5,8,7,5,6,6.150,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-024,Skytech Prism 4 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,6599.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-024_skytech-prism-4-gaming-pc.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,599.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-024,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-025,HP OMEN 45L GT22-3090 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,7499.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-025_hp-omen-45l-gt22-3090-gaming-pc.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $7,499.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-025,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-026,CLX Horus Gaming Desktop,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,9899.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-026_clx-horus-gaming-desktop.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $9,899.98); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-026,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-001,Dual RTX 3090 24GB GPU Pro Workstation (Pure 501 Black),ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,48.0,UNKNOWN,UNKNOWN,UNKNOWN,5998.5,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-001_dual-rtx-3090-24gb-gpu-pro-workstation-pure-501-black.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,998.50) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-001,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-028,Dual RTX 4090 24GB GPU Pro Workstation,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4090,48.0,UNKNOWN,UNKNOWN,UNKNOWN,11998.5,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-028_dual-rtx-4090-24gb-gpu-pro-workstation.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $11,998.50); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-028,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-029,Dual RTX 5090 32GB GPU Pro Workstation,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5090,64.0,UNKNOWN,UNKNOWN,UNKNOWN,14998.5,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-029_dual-rtx-5090-32gb-gpu-pro-workstation.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $14,998.50); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-029,Candidate,9,1,9,2,9,6.000,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-041,ACT Dell 3650 + A4000,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX A4000,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1800.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-041_act-dell-3650-a4000.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-041,Candidate,5,10,7,2,6,5.950,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-017,Budget build,ACTIVE,Desktop,diy build,Complete_System,UNKNOWN,UNKNOWN,RTX 4060 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,899.0,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/08_Custom_Builds/intake-017_budget-build.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-017,Candidate,5,10,7,2,6,5.950,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-030,GIGABYTE AORUS GeForce RTX 5090 Master Ice 32G,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,6499.0,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-030_gigabyte-aorus-geforce-rtx-5090-master-ice-32g.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,499.00); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-030,Candidate,9,1,9,1,9,5.800,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-031,ZOTAC Gaming GeForce RTX 5090 Solid OC,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RTX 5090,32.0,UNKNOWN,UNKNOWN,UNKNOWN,6569.95,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-031_zotac-gaming-geforce-rtx-5090-solid-oc.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,569.95); Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-031,Candidate,9,1,9,1,9,5.800,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-069,NVIDIA RTX 5000 Ada 32GB,ACTIVE,Component,component,Workstation_GPU,UNKNOWN,UNKNOWN,RTX 5000 Ada,32.0,UNKNOWN,UNKNOWN,UNKNOWN,6368.0,Yes,,New,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-069_nvidia-rtx-5000-ada-32gb.md,,Passed gates,"Exceeds $5,000 AUD budget (price: $6,368.00)",intake-069,Candidate,9,1,9,1,9,5.800,,,,,,,,,,,,,,NEEDS_REVIEW,track/pathway unresolved
intake-038,Minisforum AI X1 Pro + DEG2 + RTX 5070 Ti,ACTIVE,Mini PC,mini pc,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3633.19,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/06_Mini_PCs_and_eGPU/intake-038_minisforum-ai-x1-pro-deg2-rtx-5070-ti.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-038,Candidate,5,6,7,5,6,5.750,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-027,Gigabyte Radeon RX 9070 XT Gaming OC Ice 16G,ACTIVE,Component,component,Standalone_GPU,UNKNOWN,UNKNOWN,RX 9070 XT,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1235.4,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-027_gigabyte-radeon-rx-9070-xt-gaming-oc-ice-16g.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-027,Candidate,5,10,7,1,6,5.750,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-070,NVIDIA RTX 2000 Ada 16GB,ACTIVE,Component,component,Workstation_GPU,UNKNOWN,UNKNOWN,RTX 2000 Ada,16.0,UNKNOWN,UNKNOWN,UNKNOWN,1233.0,No,,New,UNKNOWN,Verified,Yes,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/09_Individual_Components/intake-070_nvidia-rtx-2000-ada-16gb.md,,Passed gates,,intake-070,Candidate,5,10,7,1,6,5.750,,,,,,,,,,,,,,NEEDS_REVIEW,track/pathway unresolved
intake-032,TOPAZ SNOW PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 5070 Ti,16.0,UNKNOWN,UNKNOWN,UNKNOWN,2699.0,No,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-032_topaz-snow-pc.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-032,Candidate,5,8,7,2,6,5.550,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-002,Supertech Computers RTX 4090 Gaming PC,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5799.0,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-002_supertech-computers-rtx-4090-gaming-pc.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,799.00) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-002,Candidate,7,1,9,2,9,5.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-022,Gaming PC Intel i9-12th Gen NVIDIA RTX 3090,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 3090,24.0,UNKNOWN,UNKNOWN,UNKNOWN,5271.98,Yes,,New,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/03_New_Desktop_Systems/intake-022_gaming-pc-intel-i9-12th-gen-nvidia-rtx-3090.md,≥ 24.0GB VRAM allows budget stretch to $6000.0,Passed via exceptional override,"Exceeds $5,000 AUD budget (price: $5,271.98) [ALLOWED: ≥ 24.0GB VRAM allows budget stretch to $6000.0]; Unverified — confirm specs before scoring; AU stock: UNKNOWN",intake-022,Candidate,7,1,9,2,9,5.500,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
intake-046,Acer Predator Orion 7000 RTX 4080 refurbished,ACTIVE,Desktop,desktop,Complete_System,UNKNOWN,UNKNOWN,RTX 4080,16.0,UNKNOWN,UNKNOWN,UNKNOWN,3699.0,No,,Refurbished,UNKNOWN,Unverified,UNKNOWN,2026-05-05_notebooklm_batch1_processed,NotebookLM_Workspaces/02_Refurbished_Desktop_Towers/intake-046_acer-predator-orion-7000-rtx-4080-refurbished.md,,Passed gates,Unverified — confirm specs before scoring; AU stock: UNKNOWN,intake-046,Candidate,5,6,7,2,6,5.150,,,,,,,,,,,,,,NEEDS_REVIEW,AU stock not confirmed; track/pathway unresolved
