candidate,classification,track_pathway,model_signature,listing_signature,observed_price_aud,observed_url,conversation_id,conversation_title,recommended_action
seller-refurbished ThinkPad P16s Gen 4,Missing,1/1A,seller refurbished thinkpad p16s gen 4 laptop,seller refurbished thinkpad p16s gen 4 laptop refurbished 1499,1499,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
18-inch performance laptops,Missing,1/1A,18 inch performance laptops rtx 5080 laptop,18 inch performance laptops rtx 5080 laptop very high end performance use,UNKNOWN,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
Yoga AIO Gen 10,Missing,1.5/UNKNOWN,yoga aio gen 10 radeon rx 6600m desktop,yoga aio gen 10 radeon rx 6600m desktop open box 1899,1899,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
"A$1,899",Missing,UNKNOWN/UNKNOWN,a 1 899 rtx 4050,a 1 899 rtx 4050 1899,1899,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
Yoga AIO 7 27ACH6,Missing,UNKNOWN/UNKNOWN,yoga aio 7 27ach6 radeon rx 6600m,yoga aio 7 27ach6 radeon rx 6600m used 799 99,799.99,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
LG gram 17,Missing,1/1A,lg gram 17 laptop,lg gram 17 laptop lg au refurbished 2474 25,2474.25,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
17Z90SP-ED7HK,Missing,1/1A,17z90sp ed7hk rtx 3050 laptop,17z90sp ed7hk rtx 3050 laptop 3139,3139,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
"AU$3,700",Missing,UNKNOWN/UNKNOWN,au 3 700 rtx 4080,au 3 700 rtx 4080 3700,3700,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
ThinkPad P16s Gen 4 (alone),Missing,1/1A,thinkpad p16s gen 4 laptop,thinkpad p16s gen 4 laptop new 3287,3287,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
LG gram Pro 17 RTX 5050 via Big Apple Buddy,Missing,UNKNOWN/UNKNOWN,lg gram pro 17 rtx 5050 via big apple buddy rtx 5050,lg gram pro 17 rtx 5050 via big apple buddy rtx 5050 new 2688,2688,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
Razer Blade 18 (2025),Missing,1.5/UNKNOWN,razer blade 18 rtx 5090 desktop,razer blade 18 rtx 5090 desktop new,UNKNOWN,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
MSI Titan 18 HX AI,Missing,1/1A,msi titan 18 hx ai rtx 5090 laptop,msi titan 18 hx ai rtx 5090 laptop new,UNKNOWN,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
17-inch,Missing,UNKNOWN/UNKNOWN,17 inch rtx 5050,17 inch rtx 5050 2688,2688,UNKNOWN,69e20cd5-7728-839c-a1e8-c58a361e87a2,Laptop Desktop Pivot Analysis,Review against existing cards and verify live facts before intake.
price,Missing,UNKNOWN/UNKNOWN,price rtx 5090,price rtx 5090 new 1612,1612,UNKNOWN,69e44757-2364-83a0-acd0-25e12905cb03,Suspicious eBay Listing,Review against existing cards and verify live facts before intake.
"US$4,899.99",Missing,UNKNOWN/UNKNOWN,us 4 899 99 rtx 5090,us 4 899 99 rtx 5090 new 1612,1612,UNKNOWN,69e44757-2364-83a0-acd0-25e12905cb03,Suspicious eBay Listing,Review against existing cards and verify live facts before intake.
"US$1,900 / about AU$2,648",Missing,1/1A,us 1 900 about au 2 648 rtx 5090 laptop,us 1 900 about au 2 648 rtx 5090 laptop 2648,2648,UNKNOWN,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,Review against existing cards and verify live facts before intake.
RTX 5080 / 64GB / 2TB,Missing,1/1A,rtx 5080 64gb 2tb rtx 5080 laptop,rtx 5080 64gb 2tb rtx 5080 laptop 7698,7698,UNKNOWN,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,Review against existing cards and verify live facts before intake.
RTX 5090,Missing,1/1A,rtx 5090 rtx 5090 laptop,rtx 5090 rtx 5090 laptop 7867 66,7867.66,UNKNOWN,69e471ea-45b4-839a-969c-c1a32942376a,RAM upgradeability on ASUS,Review against existing cards and verify live facts before intake.
"US$2,199",Missing,1/1A,us 2 199 rtx 5090 laptop,us 2 199 rtx 5090 laptop used,UNKNOWN,UNKNOWN,69e47251-ebc0-839e-9988-a5ce7cfbe8cb,eBay Listing Risk Assessment,Review against existing cards and verify live facts before intake.
HP Spectre x360 16 (2024),Missing,UNKNOWN/UNKNOWN,hp spectre x360 16 rtx 4050,hp spectre x360 16 rtx 4050 new 2299,2299,UNKNOWN,69e47313-c634-83a1-aa81-1db5c208986e,HP Spectre x360 Review,Review against existing cards and verify live facts before intake.
RTX 4050 laptop GPU with 6GB VRAM,Missing,1/1A,rtx 4050 laptop gpu with 6gb vram rtx 4050 6 laptop,rtx 4050 laptop gpu with 6gb vram rtx 4050 6 laptop integrated graphics,UNKNOWN,UNKNOWN,69e47313-c634-83a1-aa81-1db5c208986e,HP Spectre x360 Review,Review against existing cards and verify live facts before intake.
RTX 4050,Missing,UNKNOWN/UNKNOWN,rtx 4050 rtx 4050,rtx 4050 rtx 4050 integrated graphics,UNKNOWN,UNKNOWN,69e47313-c634-83a1-aa81-1db5c208986e,HP Spectre x360 Review,Review against existing cards and verify live facts before intake.
actual,Missing,1/1A,actual rtx 4080 laptop,actual rtx 4080 laptop refurbished 3989 05,3989.05,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
use-case fit,Missing,UNKNOWN/UNKNOWN,use case fit rtx 4070,use case fit rtx 4070 refurbished 3514 05,3514.05,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
"Ultra 9 275HX, RTX 5090, 64GB, 2TB",Missing,UNKNOWN/UNKNOWN,ultra 9 275hx rtx 5090 64gb 2tb rtx 5090,ultra 9 275hx rtx 5090 64gb 2tb rtx 5090 7198 4,7198.4,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
desktop-replacement laptop,Missing,1/1A,desktop replacement laptop rtx 4090 laptop,desktop replacement laptop rtx 4090 laptop new 4070 65,4070.65,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
portability and screen area,Missing,UNKNOWN/UNKNOWN,portability and screen area rtx 3050,portability and screen area rtx 3050 new 3139 15,3139.15,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
32GB/1TB/RTX 4050,Missing,1.5/UNKNOWN,32gb 1tb rtx 4050 rtx 4050 desktop,32gb 1tb rtx 4050 rtx 4050 desktop 4124,4124,UNKNOWN,69e473a6-f9dc-839b-89ea-2b8ce865aba0,Laptop Listings Comparison,Review against existing cards and verify live facts before intake.
The pattern is already clear: current Australian retail mostly gives you 18-inch,Missing,1.5/UNKNOWN,the pattern is already clear current australian retail mostly gives you 18 inch rtx 4080 desktop,the pattern is already clear current australian retail mostly gives you 18 inch rtx 4080 desktop refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
17–18 inch desktop-replacement,Missing,1.5/UNKNOWN,17 18 inch desktop replacement rtx 4080 desktop,17 18 inch desktop replacement rtx 4080 desktop ebay au listings from the uk or us refurbished 4 5,4.5,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
discounted local new,Missing,UNKNOWN/UNKNOWN,discounted local new rtx 4080,discounted local new rtx 4080 new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
carefully selected refurb/used/import,Missing,UNKNOWN/UNKNOWN,carefully selected refurb used import rtx 4090,carefully selected refurb used import rtx 4090 refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
max 32GB,Missing,UNKNOWN/UNKNOWN,max 32gb rtx 4080 12,max 32gb rtx 4080 12 new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
13 TOPS,Missing,1/1A,13 tops rtx 5070 ti laptop,13 tops rtx 5070 ti laptop budget ceiling used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
128GB RAM,Missing,UNKNOWN/UNKNOWN,128gb ram rtx 5070 ti,128gb ram rtx 5070 ti new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
16GB VRAM,Missing,UNKNOWN/UNKNOWN,16gb vram rtx 4090 16,16gb vram rtx 4090 16 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
HP Omen 17t-ck200,Missing,UNKNOWN/UNKNOWN,hp omen 17t ck200 rtx 4090,hp omen 17t ck200 rtx 4090 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Alienware m18 R1,Missing,1/1A,alienware m18 r1 rtx 4090 laptop,alienware m18 r1 rtx 4090 laptop used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
64GB DDR5,Missing,1/1A,64gb ddr5 rtx 4090 laptop,64gb ddr5 rtx 4090 laptop refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
18-inch compute-per-dollar,Missing,UNKNOWN/UNKNOWN,18 inch compute per dollar rtx 4080,18 inch compute per dollar rtx 4080 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
64GB/96GB,Missing,UNKNOWN/UNKNOWN,64gb 96gb rtx 4090,64gb 96gb rtx 4090 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Gigabyte AORUS 17X AZF,Missing,UNKNOWN/UNKNOWN,gigabyte aorus 17x azf rtx 4090,gigabyte aorus 17x azf rtx 4090 refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Local new 18-inch RTX 4080,Missing,UNKNOWN/UNKNOWN,local new 18 inch rtx 4080 rtx 4080,local new 18 inch rtx 4080 rtx 4080 new 3998,3998,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Local custom-barebones 17.3-inch RTX 5070 Ti,Missing,UNKNOWN/UNKNOWN,local custom barebones 17 3 inch rtx 5070 ti rtx 5070 ti,local custom barebones 17 3 inch rtx 5070 ti rtx 5070 ti 3499,3499,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Imported/refurb 17–18 inch RTX 4090,Missing,UNKNOWN/UNKNOWN,imported refurb 17 18 inch rtx 4090 rtx 4090,imported refurb 17 18 inch rtx 4090 rtx 4090 refurbished 3 6,3.6,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
"A$4,499",Missing,1/1A,a 4 499 16 laptop,a 4 499 16 laptop used 4499,4499,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
RTX 4080 / 12GB new,Missing,UNKNOWN/UNKNOWN,rtx 4080 12gb new rtx 4080,rtx 4080 12gb new rtx 4080 new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
RTX 4090 / 16GB used/refurb,Missing,UNKNOWN/UNKNOWN,rtx 4090 16gb used refurb rtx 4090,rtx 4090 16gb used refurb rtx 4090 refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
selectively,Missing,UNKNOWN/UNKNOWN,selectively,selectively big apple buddy or direct import refurbished 4 5,4.5,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
ASUS ROG Strix Scar 18 RTX 4090 refurb (itsworthmore),Missing,1/1A,asus rog strix scar 18 rtx 4090 refurb rtx 4090 16 laptop,asus rog strix scar 18 rtx 4090 refurb rtx 4090 16 laptop refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
HP Omen 17.3 RTX 4090 local pre-owned (“Like New”),Missing,UNKNOWN/UNKNOWN,hp omen 17 3 rtx 4090 local pre owned rtx 4090 16,hp omen 17 3 rtx 4090 local pre owned rtx 4090 16 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Alienware m18 R1 RTX 4090 UK pre-owned,Missing,1/1A,alienware m18 r1 rtx 4090 uk pre owned rtx 4090 laptop,alienware m18 r1 rtx 4090 uk pre owned rtx 4090 laptop used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Acer Predator Helios 18 RTX 4080 new at Harvey Norman,Missing,UNKNOWN/UNKNOWN,acer predator helios 18 rtx 4080 new at harvey norman rtx 4080,acer predator helios 18 rtx 4080 new at harvey norman rtx 4080 new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Alienware 18 Area-51 base RTX 5070 Ti new,Missing,1/1A,alienware 18 area 51 base rtx 5070 ti new rtx 5070 ti laptop,alienware 18 area 51 base rtx 5070 ti new rtx 5070 ti laptop used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Acer Predator Helios 18 RTX 4080 pre-owned auction from US,Missing,UNKNOWN/UNKNOWN,acer predator helios 18 rtx 4080 pre owned auction from us rtx 4080,acer predator helios 18 rtx 4080 pre owned auction from us rtx 4080 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
ASUS ROG Strix Scar 18 RTX 4090 refurb (itsworthmore),Missing,1/1A,asus rog strix scar 18 rtx 4090 refurb rtx 4090 laptop,asus rog strix scar 18 rtx 4090 refurb rtx 4090 laptop refurbished,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
HP Omen 17.3 RTX 4090 local pre-owned (“Like New”),Missing,UNKNOWN/UNKNOWN,hp omen 17 3 rtx 4090 local pre owned rtx 4090,hp omen 17 3 rtx 4090 local pre owned rtx 4090 used,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Acer Predator Helios 18 RTX 4080 new (Harvey Norman),Missing,UNKNOWN/UNKNOWN,acer predator helios 18 rtx 4080 new rtx 4080,acer predator helios 18 rtx 4080 new rtx 4080 new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Metabox Alpha-VX 17.3 RTX 5070 Ti new,Missing,UNKNOWN/UNKNOWN,metabox alpha vx 17 3 rtx 5070 ti new rtx 5070 ti,metabox alpha vx 17 3 rtx 5070 ti new rtx 5070 ti new,UNKNOWN,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
older or refurbished 4090 laptops are often better value than newer “AI PC” 17–18 inch models under A$4.5k,Missing,1/1A,older or refurbished 4090 laptops are often better value than newer ai pc 17 18 inch models under a 4 5k 16 laptop,older or refurbished 4090 laptops are often better value than newer ai pc 17 18 inch models under a 4 5k 16 laptop refurbished 4 5,4.5,UNKNOWN,69e58518-7fb8-83a1-ac74-f78c3c2a0686,Desktop-replacement Laptop Scan,Review against existing cards and verify live facts before intake.
Buy the MSI Crosshair 18 HX AI A2XWGKG-033NZ NVIDIA,Missing,1/1A,buy the msi crosshair 18 hx ai a2xwgkg 033nz nvidia rtx 5070 laptop,buy the msi crosshair 18 hx ai a2xwgkg 033nz nvidia rtx 5070 laptop https share google mbyqc69coakjsu0qs,UNKNOWN,https://share.google/MByqc69coaKJSu0QS,69e642dd-226c-839a-9471-f582f138dec4,MSI Crosshair 18 HX Review,Review against existing cards and verify live facts before intake.
strong large-screen desktop-replacement option,Missing,1.5/UNKNOWN,strong large screen desktop replacement option rtx 5070 desktop,strong large screen desktop replacement option rtx 5070 desktop 3133 4,3133.4,UNKNOWN,69e642dd-226c-839a-9471-f582f138dec4,MSI Crosshair 18 HX Review,Review against existing cards and verify live facts before intake.
"A$3,133.40",Missing,UNKNOWN/UNKNOWN,a 3 133 40 rtx 5080,a 3 133 40 rtx 5080 pb tech au 3133 4,3133.4,UNKNOWN,69e642dd-226c-839a-9471-f582f138dec4,MSI Crosshair 18 HX Review,Review against existing cards and verify live facts before intake.
A$814,Missing,UNKNOWN/UNKNOWN,a 814 rtx 5000,a 814 rtx 5000 814,814,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
HP ZBook 17 G6,Missing,1/1A,hp zbook 17 g6 16 laptop,hp zbook 17 g6 16 laptop new 814,814,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
GPU AI TOPS,Missing,1/1A,gpu ai tops rtx 5070 laptop,gpu ai tops rtx 5070 laptop used,UNKNOWN,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
Quadro RTX 5000 Laptop,Missing,1/1A,quadro rtx 5000 laptop rtx 5000 16 laptop,quadro rtx 5000 laptop rtx 5000 16 laptop new,UNKNOWN,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
16GB / RTX 5060 8GB,Missing,1/1A,16gb rtx 5060 8gb rtx 5060 laptop,16gb rtx 5060 8gb rtx 5060 laptop new 2 5,2.5,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
Better than the old ZBook on modern speed; weaker than it on capacity; and probably worse value than the Crosshair.,Missing,1/1A,better than the old zbook on modern speed weaker than it on capacity and probably worse value than the crosshair rtx 5060 8 laptop,better than the old zbook on modern speed weaker than it on capacity and probably worse value than the crosshair rtx 5060 8 laptop 2508 56,2508.56,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
"A$3,446.74",Missing,UNKNOWN/UNKNOWN,a 3 446 74 rtx 5070,a 3 446 74 rtx 5070 3446 74,3446.74,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
572 AI TOPS,Missing,1/1A,572 ai tops rtx 5070 ti laptop,572 ai tops rtx 5070 ti laptop used,UNKNOWN,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
Crosshair 18 HX AI RTX 5070,Missing,UNKNOWN/UNKNOWN,crosshair 18 hx ai rtx 5070 rtx 5070,crosshair 18 hx ai rtx 5070 rtx 5070 new,UNKNOWN,UNKNOWN,69e65d3d-6e64-839a-95ae-c7e77c8a09a9,HP ZBook 17 G6 Review,Review against existing cards and verify live facts before intake.
other nearly identical listings,Missing,UNKNOWN/UNKNOWN,other nearly identical listings rtx 5090,other nearly identical listings rtx 5090 new,UNKNOWN,UNKNOWN,69e7cebf-090c-83a1-8137-e5f10ec37f1c,eBay Listing Credibility Check,Review against existing cards and verify live facts before intake.
real eBay listing page,Missing,1/1A,real ebay listing page rtx 5090 laptop,real ebay listing page rtx 5090 laptop new,UNKNOWN,UNKNOWN,69e7cebf-090c-83a1-8137-e5f10ec37f1c,eBay Listing Credibility Check,Review against existing cards and verify live facts before intake.
near-identical listing with the exact same title,Missing,1/1A,near identical listing with the exact same title rtx 5090 laptop,near identical listing with the exact same title rtx 5090 laptop implausibly low prices new,UNKNOWN,UNKNOWN,69e7cebf-090c-83a1-8137-e5f10ec37f1c,eBay Listing Credibility Check,Review against existing cards and verify live facts before intake.
Alienware 18 Area-51 with RTX 5090,Missing,1/1A,alienware 18 area 51 with rtx 5090 rtx 5090 laptop,alienware 18 area 51 with rtx 5090 rtx 5090 laptop new 7198 4,7198.4,UNKNOWN,69e7cebf-090c-83a1-8137-e5f10ec37f1c,eBay Listing Credibility Check,Review against existing cards and verify live facts before intake.
"current AU$2,500 ask",Missing,UNKNOWN/UNKNOWN,current au 2 500 ask rtx 4060,current au 2 500 ask rtx 4060 2500,2500,UNKNOWN,69e8324c-134c-839c-b376-278e82f73dab,Razer Blade 18 Evaluation,Review against existing cards and verify live facts before intake.
"A$3,599",Missing,1/1A,a 3 599 rtx 4090 laptop,a 3 599 rtx 4090 laptop open box 3599,3599,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
Verdict:,Missing,1/1A,verdict rtx 4090 laptop,verdict rtx 4090 laptop open box 3599,3599,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
good value,Missing,1/1A,good value rtx 5070 ti laptop,good value rtx 5070 ti laptop open box 4499,4499,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
not,Missing,1/1A,not rtx 5080 laptop,not rtx 5080 laptop the top end new,UNKNOWN,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
"A$3,599",Missing,1/1A,a 3 599 rtx 4090 laptop,a 3 599 rtx 4090 laptop being an obvious steal open box 3599,3599,UNKNOWN,69e88ff7-a4c0-839d-8c99-501b955fa5e8,Legion Pro 7i Value,Review against existing cards and verify live facts before intake.
